,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,BLK_home,PF_home,STL_home,TO_home,BLK_away,PF_away,STL_away,TO_away,HOME_TEAM,VISITOR_TEAM
4216,2013,98.0,0.48100000000000004,0.778,0.111,28.0,37.0,102.0,0.444,0.818,0.444,20.0,39.0,0,5.0,21.0,5.0,9.0,2.0,22.0,5.0,9.0,Bucks,Raptors
4217,2013,90.0,0.44,0.556,0.353,25.0,38.0,97.0,0.397,0.737,0.304,19.0,60.0,0,5.0,26.0,7.0,13.0,0.0,22.0,6.0,17.0,Bucks,Raptors
4218,2012,100.0,0.474,0.759,0.316,27.0,40.0,83.0,0.361,0.87,0.3,18.0,35.0,1,12.0,22.0,11.0,15.0,4.0,21.0,9.0,16.0,Bucks,Raptors
4219,2012,122.0,0.5,0.833,0.35700000000000004,32.0,48.0,114.0,0.46,0.778,0.364,28.0,42.0,1,7.0,20.0,8.0,14.0,3.0,26.0,9.0,16.0,Bucks,Raptors
4220,2011,92.0,0.3720000000000001,0.778,0.353,16.0,43.0,86.0,0.447,0.778,0.28600000000000003,24.0,49.0,1,7.0,17.0,10.0,11.0,3.0,26.0,5.0,21.0,Bucks,Raptors
4221,2010,93.0,0.42100000000000004,0.867,0.17600000000000002,20.0,45.0,86.0,0.37,0.742,0.25,16.0,50.0,1,6.0,20.0,10.0,15.0,2.0,21.0,8.0,20.0,Bucks,Raptors
4222,2010,92.0,0.46299999999999997,0.7,0.154,17.0,50.0,74.0,0.36,0.9229999999999999,0.0,19.0,44.0,1,7.0,14.0,7.0,13.0,3.0,19.0,5.0,12.0,Bucks,Raptors
4223,2009,113.0,0.467,0.85,0.435,25.0,47.0,107.0,0.447,0.963,0.313,20.0,40.0,1,5.0,23.0,5.0,7.0,4.0,18.0,2.0,9.0,Bucks,Raptors
4224,2009,117.0,0.525,0.857,0.429,24.0,38.0,95.0,0.485,0.758,0.28600000000000003,17.0,34.0,1,5.0,24.0,6.0,9.0,2.0,25.0,5.0,13.0,Bucks,Raptors
4225,2008,107.0,0.48100000000000004,0.833,0.423,24.0,37.0,97.0,0.542,0.684,0.429,27.0,32.0,1,1.0,17.0,9.0,11.0,3.0,21.0,6.0,15.0,Bucks,Raptors
4226,2008,87.0,0.444,0.632,0.231,24.0,39.0,91.0,0.47600000000000003,0.885,0.5,22.0,35.0,0,4.0,27.0,7.0,14.0,6.0,19.0,6.0,18.0,Bucks,Raptors
4227,2007,112.0,0.603,0.688,0.467,31.0,45.0,85.0,0.41600000000000004,0.722,0.47100000000000003,21.0,32.0,1,6.0,18.0,4.0,17.0,2.0,22.0,8.0,15.0,Bucks,Raptors
4228,2006,93.0,0.5,0.7859999999999999,0.091,20.0,34.0,108.0,0.494,0.8,0.364,22.0,39.0,0,0.0,25.0,6.0,20.0,3.0,21.0,9.0,15.0,Bucks,Raptors
4229,2006,77.0,0.42100000000000004,0.647,0.125,19.0,45.0,90.0,0.43799999999999994,0.95,0.41200000000000003,23.0,34.0,0,2.0,17.0,3.0,16.0,9.0,21.0,9.0,13.0,Bucks,Raptors
4230,2005,125.0,0.5539999999999999,0.7559999999999999,0.45,32.0,41.0,116.0,0.489,0.706,0.364,25.0,35.0,1,4.0,20.0,5.0,15.0,0.0,34.0,9.0,11.0,Bucks,Raptors
4231,2005,108.0,0.584,0.556,0.42100000000000004,33.0,42.0,87.0,0.405,0.7190000000000001,0.25,21.0,35.0,1,4.0,24.0,7.0,14.0,1.0,20.0,9.0,13.0,Bucks,Raptors
4232,2004,109.0,0.455,0.893,0.267,22.0,44.0,127.0,0.523,0.885,0.522,29.0,42.0,0,2.0,18.0,6.0,14.0,2.0,26.0,9.0,15.0,Bucks,Raptors
4233,2004,102.0,0.391,0.848,0.14300000000000002,17.0,47.0,106.0,0.455,0.7829999999999999,0.308,23.0,44.0,0,0.0,22.0,6.0,12.0,4.0,27.0,8.0,13.0,Bucks,Raptors
4234,2003,87.0,0.384,0.731,0.182,23.0,48.0,89.0,0.45899999999999996,1.0,0.556,18.0,41.0,0,2.0,14.0,4.0,7.0,5.0,20.0,3.0,14.0,Bucks,Raptors
4235,2003,98.0,0.545,0.828,0.667,23.0,46.0,86.0,0.43799999999999994,0.667,0.267,25.0,28.0,1,1.0,19.0,6.0,17.0,6.0,23.0,6.0,8.0,Bucks,Raptors
4236,2019,115.0,0.461,0.8,0.342,30.0,51.0,105.0,0.405,0.88,0.41700000000000004,24.0,42.0,1,7.0,22.0,4.0,11.0,6.0,22.0,5.0,13.0,Bucks,Raptors
4237,2018,99.0,0.452,0.722,0.32299999999999995,26.0,53.0,105.0,0.369,0.8059999999999999,0.419,19.0,45.0,0,2.0,22.0,2.0,11.0,4.0,16.0,6.0,6.0,Bucks,Raptors
4238,2018,125.0,0.467,0.743,0.317,27.0,53.0,103.0,0.425,0.76,0.313,19.0,40.0,1,4.0,26.0,6.0,7.0,6.0,30.0,3.0,13.0,Bucks,Raptors
4239,2018,108.0,0.39799999999999996,0.852,0.25,21.0,60.0,100.0,0.37,0.85,0.35700000000000004,17.0,46.0,1,11.0,16.0,8.0,12.0,4.0,21.0,9.0,12.0,Bucks,Raptors
4240,2018,116.0,0.494,0.815,0.37799999999999995,29.0,38.0,123.0,0.512,0.8059999999999999,0.452,28.0,38.0,0,2.0,20.0,9.0,14.0,6.0,22.0,9.0,11.0,Bucks,Raptors
4241,2018,124.0,0.489,0.789,0.42200000000000004,28.0,57.0,109.0,0.379,0.7859999999999999,0.2,25.0,51.0,1,4.0,21.0,5.0,17.0,7.0,19.0,9.0,10.0,Bucks,Raptors
4242,2017,110.0,0.532,0.7240000000000001,0.41200000000000003,26.0,28.0,129.0,0.5579999999999999,0.821,0.303,25.0,43.0,0,4.0,23.0,4.0,11.0,5.0,22.0,9.0,11.0,Bucks,Raptors
4243,2016,89.0,0.4270000000000001,0.643,0.389,18.0,37.0,92.0,0.457,0.826,0.409,14.0,43.0,0,10.0,20.0,11.0,14.0,4.0,20.0,9.0,14.0,Bucks,Raptors
4244,2016,76.0,0.37,0.611,0.23800000000000002,16.0,50.0,87.0,0.413,0.941,0.22699999999999998,16.0,41.0,0,3.0,21.0,8.0,20.0,6.0,19.0,11.0,12.0,Bucks,Raptors
4245,2016,104.0,0.527,0.737,0.522,29.0,36.0,77.0,0.33799999999999997,0.767,0.273,11.0,40.0,1,4.0,25.0,6.0,13.0,4.0,21.0,6.0,15.0,Bucks,Raptors
4246,2016,101.0,0.4370000000000001,0.826,0.222,16.0,42.0,94.0,0.467,0.85,0.33299999999999996,20.0,36.0,1,4.0,18.0,3.0,6.0,4.0,23.0,2.0,11.0,Bucks,Raptors
